id,imageUrl,sponsored,title,stars,ratingsCount,sales,price,pre_price,coupon,coupon_text,prime,url
11_1_11,https://m.media-amazon.com/images/I/71uBTDIO8BL._AC_UL400_.jpg,False,ノートパソコン ProBook 450 G3 i5第六世代/ メモリ 8GB SSD 256GB/ Windows11/ 15.6インチ ノートパソコン Office搭載 Core i5-6200U/ Webカメラ内蔵/指紋/DVD-ROM/HDMI、VGA/Wi-Fi/仕事用ノートPC (Kings PC Store)(整備済み品) (Core i5/8GB/SSD:256GB),5つ星のうち4.1,61,タイムセール,"28,640","￥30,727",False,,True,https://www.amazon.co.jp/Windows11-Office搭載-i5-6200U-Webカメラ内蔵-HDMI、VGA/dp/B0BX8GD6WV/ref=sr_1_11?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-11
12_1_12,https://m.media-amazon.com/images/I/71AtlLL0j9L._AC_UL400_.jpg,False,NEC LAVIE 国内生産 ノートパソコン N15S 15.6 型 Core i5 8GB 256GB SSD Office 搭載 カームホワイト Microsoft Office Home & Business 2021 DVD,5つ星のうち4.1,343,,"89,800","￥122,364",False,,True,https://www.amazon.co.jp/ノートパソコン-Direct-Office搭載-Windows-カームホワイト/dp/B09M8JXV2P/ref=sr_1_12?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-12
13_1_13,https://m.media-amazon.com/images/I/61+b2IA-PsL._AC_UL400_.jpg,False,富士通ノートパソコン FUJITSU LIFEBOOK A576/第6世代 インテル® Celeron 3855U 15.6インチ(1366*768)/Win11 Pro/MS Office2019/WIFI/Bluetooth/DVD/(整備済み品) (4GB SSD128),5つ星のうち3.9,3,,"12,800",,False,,True,https://www.amazon.co.jp/富士通ノートパソコン-FUJITSU-LIFEBOOK-Office2019-Bluetooth/dp/B0CBZ1VXLR/ref=sr_1_13?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-13
14_1_14,https://m.media-amazon.com/images/I/71VKaDsEe4L._AC_UL400_.jpg,False,富士通 15.6型 ノートパソコン FUJITSU FMV LIFEBOOK A577 第七世代 Core i5 7200U/FHD1920*1080/8GBメモリ/SSD:256GB/ Windows 11/DVDドライブ搭載/HDMI端子/Wi-Fi/Bluetooth/学習・仕事用 Laptop ノートPC Office 2019 搭載 (Kings PC Store) (8G SSD:256GB) (整備済み品),,,,"28,800",,False,,True,https://www.amazon.co.jp/富士通-ノートパソコン-FUJITSU-LIFEBOOK-FHD1920/dp/B0C6DGLBBW/ref=sr_1_14?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-14
15_1_15,https://m.media-amazon.com/images/I/81QJ7N47avL._AC_UL400_.jpg,False,富士通 ノートPC [ PCステージ W.R.K 無線マウス付属]A553/Office 2019/Win 11 Pro/15.6型/WIFI/Bluetooth/Celeron 1000M/メモリー4GB/SSD128GB (整備済み品),5つ星のうち4.0,346,,"14,800","￥15,800",False,,True,https://www.amazon.co.jp/W-R-K-無線マウス付属-Bluetooth-Celeron-SSD128GB/dp/B0BXWHK35K/ref=sr_1_15?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-15
16_1_16,https://m.media-amazon.com/images/I/71tlsFJUnKL._AC_UL400_.jpg,False,ノートパソコン office搭載 windows11 ノートPC 14型液晶/Webカメラ搭載（マイク内蔵）/USB3.0/miniHDMI/WIFI搭載/日本語キーボード/豊富な接続端子 軽量PC laptop パソコン 初心者向け・学生向け・在宅勤務・カメラ付き・Zoom VETESA ネットパソコン ローズゴールド (メモリー:12GB/高速SSD:256GB),5つ星のうち3.6,35,,"35,980",,True,5% OFF ,True,https://www.amazon.co.jp/office搭載-windows11-Webカメラ搭載（マイク内蔵）-初心者向け・学生向け・在宅勤務・カメラ付き・Zoom-VETESA/dp/B0BYMLZV9W/ref=sr_1_16?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-16
17_1_17,https://m.media-amazon.com/images/I/61-CiRhgZlL._AC_UL400_.jpg,False,ノートパソコン Office搭載 Windows 11 Pro搭載 おまかせ 高性能Celeron WIFI 15.6インチ 無線LAN DVD-ROM NEC 富士通 TOSHIB DELL HPなど中古ノートパソコン (1)【Office 2019・Win11 Pro】8GB/128GB),5つ星のうち4.0,15,,"9,999",,False,,False,https://www.amazon.co.jp/ノートパソコン-Office搭載-高性能Celeron-HPなど中古ノートパソコン-2019・Win11/dp/B0C99PBLPG/ref=sr_1_17?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-17
18_1_18,https://m.media-amazon.com/images/I/61FPqa1+Q1L._AC_UL400_.jpg,False,【最新Windows11 Pro搭載】‎大手メーカー製品 富士通/東芝/レノボ/NEC 厳選ノートPC 第六世代高性能 /大画面15.6型/Office/WIFI/日本語キーボード (整備済み品) (4gb ssd128),5つ星のうち5.0,1,,"11,800",,False,,True,https://www.amazon.co.jp/【最新Windows11-Pro搭載】‎大手メーカー製品-厳選ノートPC-大画面15-6型-日本語キーボード/dp/B0C93PV6XX/ref=sr_1_18?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-18
19_1_19,https://m.media-amazon.com/images/I/61HAkT8Gw+L._AC_UL400_.jpg,False,【最新Windows11 Pro搭載】富士通 ノートPC FUJITSU LIFEBOOK A576/第6世代 インテル® Celeron 3855U/MS Office2019/Windows11/15.6インチ/WIFI/DVD/日本語キーボード(整備済み品) (4GB SSD128),5つ星のうち5.0,1,,"12,500",,False,,True,https://www.amazon.co.jp/【最新Windows11-Pro搭載】富士通-LIFEBOOK-A576-Office2019/dp/B0CBYZQDWX/ref=sr_1_19?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-19
20_1_20,https://m.media-amazon.com/images/I/61I-Vrl3m0L._AC_UL400_.jpg,False,SERYUB ノートパソコン【MS Office 2019】【Win 11Pro】14インチ1920*1080 IPS パソコンノート 高速静音CPU Celeron J4105 1.5~2.5Ghz/メモリ:DDR４ 6GB/SSD:128GB ミュートノートPC　日本語キーボードフィルム付き/Webカメラ/USB 3.0*2/mini-HDMI/SSD拡張 薄型軽量 ラップトップ laptop初心者向け 仕事用・学習用・一般家庭用,5つ星のうち4.4,229,,"34,999",,True,"￥1,750 OFF ",True,https://www.amazon.co.jp/【Microsoft-2019】【Windows-11Pro】ノートパソコン【日本語キーボードフィルム付けき】14インチ1920-Webカメラ-パソコンノート-1-1-2-8Ghz/dp/B09F624HX2/ref=sr_1_20?__mk_ja_JP=カタカナ&keywords=パソコン&qid=1694198907&sr=8-20
